left_row_id,right_row_id,semantic_score,lexical_score,attribute_score,attribute_conflict,hybrid_score,decision,left_attributes,right_attributes
A:A1001,B:B7811,0.9846,0.625,1.0,False,0.9345,auto_merge,"{""brand"": ""philips"", ""product_type"": ""bulb"", ""watts"": 50.0, ""capacity_kg"": NaN, ""size_in"": NaN, ""colour"": ""warm white""}","{""brand"": ""philips"", ""product_type"": ""bulb"", ""watts"": 50.0, ""capacity_kg"": NaN, ""size_in"": NaN, ""colour"": ""warm white""}"
A:A1001,B:B999,0.2984,0.0,0.0,True,0.0,separate,"{""brand"": ""philips"", ""product_type"": ""bulb"", ""watts"": 50.0, ""capacity_kg"": NaN, ""size_in"": NaN, ""colour"": ""warm white""}","{""brand"": ""samsung"", ""product_type"": ""tv"", ""watts"": NaN, ""capacity_kg"": NaN, ""size_in"": 55.0, ""colour"": NaN}"
A:A1001,B:B300,0.2025,0.0714,0.0,True,0.0,separate,"{""brand"": ""philips"", ""product_type"": ""bulb"", ""watts"": 50.0, ""capacity_kg"": NaN, ""size_in"": NaN, ""colour"": ""warm white""}","{""brand"": ""acme"", ""product_type"": ""charger"", ""watts"": 65.0, ""capacity_kg"": NaN, ""size_in"": NaN, ""colour"": ""black""}"
A:A1001,C:C991,0.9191,0.4444,1.0,False,0.8681,review,"{""brand"": ""philips"", ""product_type"": ""bulb"", ""watts"": 50.0, ""capacity_kg"": NaN, ""size_in"": NaN, ""colour"": ""warm white""}","{""brand"": ""philips"", ""product_type"": ""bulb"", ""watts"": 50.0, ""capacity_kg"": NaN, ""size_in"": NaN, ""colour"": ""warm white""}"
A:A1001,C:C401,0.0,0.0,0.0,True,0.0,separate,"{""brand"": ""philips"", ""product_type"": ""bulb"", ""watts"": 50.0, ""capacity_kg"": NaN, ""size_in"": NaN, ""colour"": ""warm white""}","{""brand"": ""lg"", ""product_type"": ""washing_machine"", ""watts"": NaN, ""capacity_kg"": 8.0, ""size_in"": NaN, ""colour"": NaN}"
A:A1001,C:C300,0.2012,0.0,0.0,True,0.0,separate,"{""brand"": ""philips"", ""product_type"": ""bulb"", ""watts"": 50.0, ""capacity_kg"": NaN, ""size_in"": NaN, ""colour"": ""warm white""}","{""brand"": ""acme"", ""product_type"": ""charger"", ""watts"": 45.0, ""capacity_kg"": NaN, ""size_in"": NaN, ""colour"": ""black""}"
A:A1001,D:D555,0.9698,0.875,1.0,False,0.9631,auto_merge,"{""brand"": ""philips"", ""product_type"": ""bulb"", ""watts"": 50.0, ""capacity_kg"": NaN, ""size_in"": NaN, ""colour"": ""warm white""}","{""brand"": ""philips"", ""product_type"": ""bulb"", ""watts"": 50.0, ""capacity_kg"": NaN, ""size_in"": NaN, ""colour"": ""warm white""}"
A:A1001,D:D876,0.0232,0.0,0.0,True,0.0,separate,"{""brand"": ""philips"", ""product_type"": ""bulb"", ""watts"": 50.0, ""capacity_kg"": NaN, ""size_in"": NaN, ""colour"": ""warm white""}","{""brand"": ""lg"", ""product_type"": ""washing_machine"", ""watts"": NaN, ""capacity_kg"": 8.0, ""size_in"": NaN, ""colour"": NaN}"
A:A1001,D:D300,0.2439,0.0,0.0,True,0.0,separate,"{""brand"": ""philips"", ""product_type"": ""bulb"", ""watts"": 50.0, ""capacity_kg"": NaN, ""size_in"": NaN, ""colour"": ""warm white""}","{""brand"": NaN, ""product_type"": ""charger"", ""watts"": 65.0, ""capacity_kg"": NaN, ""size_in"": NaN, ""colour"": ""black""}"
A:A200,B:B7811,0.2768,0.0,0.0,True,0.0,separate,"{""brand"": ""samsung"", ""product_type"": ""tv"", ""watts"": NaN, ""capacity_kg"": NaN, ""size_in"": 55.0, ""colour"": NaN}","{""brand"": ""philips"", ""product_type"": ""bulb"", ""watts"": 50.0, ""capacity_kg"": NaN, ""size_in"": NaN, ""colour"": ""warm white""}"
A:A200,B:B999,0.847,0.375,1.0,False,0.8144,separate,"{""brand"": ""samsung"", ""product_type"": ""tv"", ""watts"": NaN, ""capacity_kg"": NaN, ""size_in"": 55.0, ""colour"": NaN}","{""brand"": ""samsung"", ""product_type"": ""tv"", ""watts"": NaN, ""capacity_kg"": NaN, ""size_in"": 55.0, ""colour"": NaN}"
A:A200,B:B300,0.1781,0.0,0.0,True,0.0,separate,"{""brand"": ""samsung"", ""product_type"": ""tv"", ""watts"": NaN, ""capacity_kg"": NaN, ""size_in"": 55.0, ""colour"": NaN}","{""brand"": ""acme"", ""product_type"": ""charger"", ""watts"": 65.0, ""capacity_kg"": NaN, ""size_in"": NaN, ""colour"": ""black""}"
A:A200,C:C991,0.2905,0.0,0.0,True,0.0,separate,"{""brand"": ""samsung"", ""product_type"": ""tv"", ""watts"": NaN, ""capacity_kg"": NaN, ""size_in"": 55.0, ""colour"": NaN}","{""brand"": ""philips"", ""product_type"": ""bulb"", ""watts"": 50.0, ""capacity_kg"": NaN, ""size_in"": NaN, ""colour"": ""warm white""}"
A:A200,C:C401,0.1328,0.0,0.0,True,0.0,separate,"{""brand"": ""samsung"", ""product_type"": ""tv"", ""watts"": NaN, ""capacity_kg"": NaN, ""size_in"": 55.0, ""colour"": NaN}","{""brand"": ""lg"", ""product_type"": ""washing_machine"", ""watts"": NaN, ""capacity_kg"": 8.0, ""size_in"": NaN, ""colour"": NaN}"
A:A200,C:C300,0.1366,0.0,0.0,True,0.0,separate,"{""brand"": ""samsung"", ""product_type"": ""tv"", ""watts"": NaN, ""capacity_kg"": NaN, ""size_in"": 55.0, ""colour"": NaN}","{""brand"": ""acme"", ""product_type"": ""charger"", ""watts"": 45.0, ""capacity_kg"": NaN, ""size_in"": NaN, ""colour"": ""black""}"
A:A200,D:D555,0.2817,0.0,0.0,True,0.0,separate,"{""brand"": ""samsung"", ""product_type"": ""tv"", ""watts"": NaN, ""capacity_kg"": NaN, ""size_in"": 55.0, ""colour"": NaN}","{""brand"": ""philips"", ""product_type"": ""bulb"", ""watts"": 50.0, ""capacity_kg"": NaN, ""size_in"": NaN, ""colour"": ""warm white""}"
A:A200,D:D876,0.1834,0.0,0.0,True,0.0,separate,"{""brand"": ""samsung"", ""product_type"": ""tv"", ""watts"": NaN, ""capacity_kg"": NaN, ""size_in"": 55.0, ""colour"": NaN}","{""brand"": ""lg"", ""product_type"": ""washing_machine"", ""watts"": NaN, ""capacity_kg"": 8.0, ""size_in"": NaN, ""colour"": NaN}"
A:A200,D:D300,0.177,0.0,0.0,True,0.0,separate,"{""brand"": ""samsung"", ""product_type"": ""tv"", ""watts"": NaN, ""capacity_kg"": NaN, ""size_in"": 55.0, ""colour"": NaN}","{""brand"": NaN, ""product_type"": ""charger"", ""watts"": 65.0, ""capacity_kg"": NaN, ""size_in"": NaN, ""colour"": ""black""}"
A:A300,B:B7811,0.2216,0.0,0.0,True,0.0,separate,"{""brand"": ""acme"", ""product_type"": ""charger"", ""watts"": 65.0, ""capacity_kg"": NaN, ""size_in"": NaN, ""colour"": ""black""}","{""brand"": ""philips"", ""product_type"": ""bulb"", ""watts"": 50.0, ""capacity_kg"": NaN, ""size_in"": NaN, ""colour"": ""warm white""}"
